0.381  8.71123e-07 -0.499999 -1.60161e-07 -2 -1.03635e-06 2 -2.71585e-07  3.05237e-06 -0.499997 -5.61197e-07 -2 -3.63132e-06 2 -9.51621e-07  0.00101918 0.000855647 -0.000187383 0.000409938 -0.00121249 -0.000156275 -0.000317745 
0.391  7.56167e-05 -0.499937 -1.39026e-05 -1.99997 -8.99591e-05 1.99999 -2.35746e-05  0.000109885 -0.499908 -2.02031e-05 -1.99996 -0.000130728 1.99998 -3.42584e-05  0.0153735 0.0129067 -0.00282651 0.00618355 -0.0182894 -0.00235726 -0.0047929 
0.401  0.000316462 -0.499734 -5.81835e-05 -1.99987 -0.000376487 1.99995 -9.86617e-05  0.000369337 -0.49969 -6.79048e-05 -1.99985 -0.00043939 1.99994 -0.000115146  0.0327389 0.0274857 -0.00601925 0.0131683 -0.0389486 -0.00501997 -0.0102068 
0.411  0.000727495 -0.499389 -0.000133755 -1.99971 -0.000865482 1.99989 -0.000226807  0.000781406 -0.499344 -0.000143666 -1.99969 -0.000929618 1.99988 -0.000243615  0.0493193 0.0414056 -0.00906766 0.0198373 -0.0586738 -0.00756229 -0.015376 
0.421  0.00130048 -0.498908 -0.000239102 -1.99948 -0.00154715 1.9998 -0.000405445  0.00134609 -0.49887 -0.000247488 -1.99946 -0.00160141 1.99979 -0.000419665  0.0651949 0.0547339 -0.0119865 0.0262229 -0.0775607 -0.00999656 -0.0203255 
0.431  0.00203022 -0.498296 -0.000373269 -1.99918 -0.0024153 1.99969 -0.000632952  0.0020634 -0.498268 -0.000379369 -1.99917 -0.00245477 1.99968 -0.000643296  0.0807156 0.0677641 -0.0148401 0.0324656 -0.0960251 -0.0123764 -0.0251643 
0.441  0.00291429 -0.497553 -0.00053581 -1.99883 -0.00346705 1.99955 -0.000908573  0.00293333 -0.497537 -0.00053931 -1.99882 -0.0034897 1.99955 -0.000914508  0.0960819 0.0806648 -0.0176653 0.0386463 -0.114306 -0.0147326 -0.0299549 
0.451  0.00395166 -0.496682 -0.000726536 -1.99841 -0.00470118 1.99939 -0.00123199  0.00395587 -0.496679 -0.000727311 -1.99841 -0.00470619 1.99939 -0.0012333  0.111385 0.0935125 -0.0204788 0.0448015 -0.132512 -0.017079 -0.0347259 
0.461  0.00514191 -0.495683 -0.000945372 -1.99793 -0.00611719 1.99921 -0.00160307  0.00513103 -0.495692 -0.000943372 -1.99794 -0.00610425 1.99921 -0.00159967  0.126663 0.106339 -0.0232878 0.0509467 -0.150688 -0.0194217 -0.0394891 
0.471  0.00648488 -0.494556 -0.00119229 -1.99739 -0.00771489 1.99901 -0.00202176  0.00645881 -0.494578 -0.00118749 -1.9974 -0.00768388 1.99901 -0.00201363  0.141931 0.119157 -0.0260949 0.0570879 -0.168852 -0.0217628 -0.0442491 
0.481  0.00798052 -0.4933 -0.00146727 -1.99679 -0.00949421 1.99878 -0.00248804  0.00793921 -0.493335 -0.00145967 -1.99681 -0.00944507 1.99878 -0.00247517  0.157195 0.131972 -0.0289014 0.0632275 -0.187011 -0.0241033 -0.049008 
0.491  0.00962879 -0.491916 -0.00177031 -1.99613 -0.0114551 1.99852 -0.00300192  0.00957223 -0.491964 -0.00175991 -1.99615 -0.0113878 1.99853 -0.00298428  0.172458 0.144786 -0.0317075 0.0693665 -0.205169 -0.0264436 -0.0537664 
0.501  0.0114297 -0.490404 -0.00210142 -1.9954 -0.0135976 1.99825 -0.00356337  0.0113579 -0.490465 -0.00208821 -1.99543 -0.0135121 1.99826 -0.00354098  0.18772 0.157599 -0.0345136 0.0755053 -0.223326 -0.0287838 -0.0585246 
0.511  0.0133832 -0.488764 -0.00246058 -1.99462 -0.0159216 1.99795 -0.00417241  0.0132961 -0.488837 -0.00244457 -1.99465 -0.015818 1.99796 -0.00414526  0.202982 0.170412 -0.0373196 0.0816441 -0.241483 -0.031124 -0.0632828 
0.521  0.0154893 -0.486996 -0.00284781 -1.99377 -0.0184272 1.99762 -0.00482903  0.015387 -0.487082 -0.00282899 -1.99381 -0.0183055 1.99764 -0.00479712  0.218244 0.183225 -0.0401256 0.0877827 -0.259639 -0.0334641 -0.0680409 
0.531  0.0177481 -0.4851 -0.0032631 -1.99286 -0.0211144 1.99728 -0.00553323  0.0176305 -0.485198 -0.00324147 -1.99291 -0.0209745 1.9973 -0.00549656  0.233506 0.196038 -0.0429316 0.0939214 -0.277796 -0.0358043 -0.072799 
0.541  0.0201595 -0.483075 -0.00370644 -1.99189 -0.0239832 1.99691 -0.00628501  0.0200266 -0.483187 -0.00368201 -1.99194 -0.0238251 1.99693 -0.00624359  0.248768 0.208851 -0.0457376 0.10006 -0.295953 -0.0381444 -0.0775571 
0.551  0.0227234 -0.480923 -0.00417785 -1.99086 -0.0270335 1.99652 -0.00708437  0.0225753 -0.481047 -0.00415061 -1.99092 -0.0268573 1.99654 -0.00703819  0.26403 0.221664 -0.0485435 0.106199 -0.314109 -0.0404846 -0.0823152 
0.561  0.0254401 -0.478642 -0.00467731 -1.98977 -0.0302654 1.9961 -0.00793131  0.0252767 -0.478779 -0.00464727 -1.98983 -0.030071 1.99612 -0.00788037  0.279292 0.234477 -0.0513495 0.112337 -0.332266 -0.0428247 -0.0870733 
0.571  0.0283093 -0.476233 -0.00520484 -1.98861 -0.0336788 1.99566 -0.00882583  0.0281306 -0.476383 -0.00517199 -1.98869 -0.0334663 1.99569 -0.00877014  0.294554 0.24729 -0.0541555 0.118476 -0.350423 -0.0451649 -0.0918314 
0.581  0.0313311 -0.473696 -0.00576042 -1.9874 -0.0372738 1.9952 -0.00976794  0.0311372 -0.473859 -0.00572477 -1.98748 -0.0370431 1.99523 -0.00970749  0.309815 0.260103 -0.0569615 0.124615 -0.368579 -0.047505 -0.0965895 
